,Name,Sectors,Assets
77,DFAC,"[{'realestate': 0.003}, {'consumer_cyclical': 0.108}, {'basic_materials': 0.041199997}, {'consumer_defensive': 0.0653}, {'technology': 0.2059}, {'communication_services': 0.056399997}, {'financial_services': 0.16690001}, {'utilities': 0.017}, {'industrials': 0.1375}, {'energy': 0.0656}, {'healthcare': 0.1303}]",17730973696
78,HYG,"[{'realestate': 0}, {'consumer_cyclical': 0}, {'basic_materials': 0}, {'consumer_defensive': 0}, {'technology': 0}, {'communication_services': 0}, {'financial_services': 0}, {'utilities': 0}, {'industrials': 0}, {'energy': 0.00059999997}, {'healthcare': 0}]",18283001856
79,EMB,"[{'realestate': 0}, {'consumer_cyclical': 0}, {'basic_materials': 0}, {'consumer_defensive': 0}, {'technology': 0}, {'communication_services': 0}, {'financial_services': 0}, {'utilities': 0}, {'industrials': 0}, {'energy': 0}, {'healthcare': 0}]",17512890368
80,VGK,"[{'realestate': 0.0201}, {'consumer_cyclical': 0.1041}, {'basic_materials': 0.0695}, {'consumer_defensive': 0.1087}, {'technology': 0.0735}, {'communication_services': 0.0438}, {'financial_services': 0.1729}, {'utilities': 0.039}, {'industrials': 0.1499}, {'energy': 0.0577}, {'healthcare': 0.1401}]",22650472448
81,VOE,"[{'realestate': 0.1103}, {'consumer_cyclical': 0.0879}, {'basic_materials': 0.0573}, {'consumer_defensive': 0.0627}, {'technology': 0.071100004}, {'communication_services': 0.0274}, {'financial_services': 0.1934}, {'utilities': 0.1093}, {'industrials': 0.13430001}, {'energy': 0.0444}, {'healthcare': 0.0829}]",29708333056
82,VHT,"[{'realestate': 0}, {'consumer_cyclical': 0.0001}, {'basic_materials': 0.0028}, {'consumer_defensive': 0.0002}, {'technology': 0.0002}, {'communication_services': 0}, {'financial_services': 0.00029999999}, {'utilities': 0}, {'industrials': 0.0007}, {'energy': 0}, {'healthcare': 0.99300003}]",20154642432
83,XLP,"[{'realestate': 0}, {'consumer_cyclical': 0}, {'basic_materials': 0}, {'consumer_defensive': 0.9854}, {'technology': 0}, {'communication_services': 0}, {'financial_services': 0}, {'utilities': 0}, {'industrials': 0}, {'energy': 0}, {'healthcare': 0.0135}]",17098615808
84,SPYV,"[{'realestate': 0.048299998}, {'consumer_cyclical': 0.1091}, {'basic_materials': 0.026199998}, {'consumer_defensive': 0.0706}, {'technology': 0.1584}, {'communication_services': 0.0872}, {'financial_services': 0.2094}, {'utilities': 0.0467}, {'industrials': 0.1254}, {'energy': 0.0168}, {'healthcare': 0.0929}]",16340169728
85,EFV,"[{'realestate': 0.0395}, {'consumer_cyclical': 0.082600005}, {'basic_materials': 0.106800005}, {'consumer_defensive': 0.0557}, {'technology': 0.026400002}, {'communication_services': 0.0462}, {'financial_services': 0.28129998}, {'utilities': 0.0614}, {'industrials': 0.1271}, {'energy': 0.089899994}, {'healthcare': 0.0828}]",16535374848
86,SPLG,"[{'realestate': 0.0286}, {'consumer_cyclical': 0.1034}, {'basic_materials': 0.0251}, {'consumer_defensive': 0.071}, {'technology': 0.2367}, {'communication_services': 0.078}, {'financial_services': 0.1397}, {'utilities': 0.024400001}, {'industrials': 0.087299995}, {'energy': 0.0504}, {'healthcare': 0.1468}]",15881875456
